Year,Series,Unit,Value
2017,Annual growth rate of real GDP per capita [8.1.1],Percent,0.039
2018,Annual growth rate of real GDP per capita [8.1.1],Percent,0.085
2019,Annual growth rate of real GDP per capita [8.1.1],Percent,0.094
2020,Annual growth rate of real GDP per capita [8.1.1],Percent,-0.034
2021,Annual growth rate of real GDP per capita [8.1.1],Percent,0.109
2022,Annual growth rate of real GDP per capita [8.1.1],Percent,0.082
2023,Annual growth rate of real GDP per capita [8.1.1],Percent,0.082
2024,Annual growth rate of real GDP per capita [8.1.1],Percent,0.089
