Year,Series,Unit,Value
2016,Annual growth rate of real GDP per employed person,Percent,2.3
2017,Annual growth rate of real GDP per employed person,Percent,0.6
2018,Annual growth rate of real GDP per employed person,Percent,21.3
2019,Annual growth rate of real GDP per employed person,Percent,-12
2020,Annual growth rate of real GDP per employed person,Percent,10.3
2021,Annual growth rate of real GDP per employed person,Percent,4.1
